epoch,accuracy,loss,val_accuracy,val_loss
0,0.2406441867351532,2.920336961746216,0.02433747984468937,6.336655139923096
1,0.6373537182807922,1.1864662170410156,0.11736073344945908,4.220820426940918
2,0.8333912491798401,0.5092381834983826,0.5424553751945496,1.5483789443969727
3,0.911018431186676,0.2705498933792114,0.92861008644104,0.24028362333774567
4,0.9485574960708618,0.16152147948741913,0.94916170835495,0.15474630892276764
5,0.9566678404808044,0.1327066719532013,0.9605191946029663,0.11802036315202713
6,0.9674429297447205,0.10131095349788666,0.9659275412559509,0.1058071181178093
7,0.9748580455780029,0.08316706120967865,0.9621416926383972,0.11774997413158417
8,0.9782180786132812,0.06684132665395737,0.9724175333976746,0.07483260333538055
9,0.9860966205596924,0.04372217133641243,0.9621416926383972,0.11195246130228043
10,0.9829683899879456,0.052683256566524506,0.98215252161026,0.0610201433300972
11,0.9881821274757385,0.039247892796993256,0.9670091867446899,0.10321592539548874
12,0.9799559712409973,0.061966657638549805,0.9724175333976746,0.09898453950881958
13,0.9815780520439148,0.05603715032339096,0.9789075255393982,0.06128761172294617
14,0.9891090393066406,0.039757855236530304,0.9745808839797974,0.10075055062770844
