epoch,accuracy,loss,val_accuracy,val_loss
0,0.27980536222457886,2.5779147148132324,0.02433747984468937,3.7646191120147705
1,0.7723323106765747,0.7160624861717224,0.02433747984468937,3.809945583343506
2,0.8944502472877502,0.31692951917648315,0.02433747984468937,3.9028522968292236
3,0.9391727447509766,0.19254086911678314,0.02433747984468937,4.086292266845703
4,0.9477465152740479,0.1690683364868164,0.02433747984468937,4.349543571472168
5,0.9614181518554688,0.11907033622264862,0.02433747984468937,4.722664833068848
6,0.9625767469406128,0.11746686697006226,0.02433747984468937,5.109008312225342
7,0.9794925451278687,0.06660693138837814,0.02433747984468937,5.384509086608887
8,0.9756690859794617,0.07599339634180069,0.02433747984468937,5.745968341827393
9,0.9743946194648743,0.08157391846179962,0.02433747984468937,6.636789321899414
